date,code,name,score,stars,rank,entry_close,ret_5d,status_5d,ret_10d,status_10d,ret_20d,status_20d,ret_60d,status_60d,reasons
2026-07-07,058730,다스코,64.2,2,9,4000.0,9.75,ok,,insufficient,,insufficient,,insufficient,거래대금 77위 | 영업이익 성장 +217% | PEG 0.01 (저평가) | 정배열 · MACD 강세 · OBV 매집 | 10거래일 중 4회 등장
2026-07-07,214450,파마리서치,63.2,2,10,340500.0,-6.46,ok,,insufficient,,insufficient,,insufficient,거래대금 55위 | 영업이익 성장 +70% | PEG 0.50 (저평가) | 정배열 · MACD 강세 · OBV 매집 | 10거래일 중 5회 등장
2026-07-07,003490,대한항공,62.0,2,11,29150.0,-9.09,ok,,insufficient,,insufficient,,insufficient,거래대금 51위 | 영업이익 성장 +140% | 60일 고가 근접 | 정배열 · MACD 강세 · OBV 매집 | 10거래일 중 5회 등장
2026-07-07,005930,삼성전자,61.2,2,12,296000.0,-11.15,ok,,insufficient,,insufficient,,insufficient,거래대금 2위 | 영업이익 성장 +755% | PEG 0.01 (저평가) | 10거래일 중 3회 등장
2026-07-07,402340,SK스퀘어,60.0,2,13,1356000.0,-12.24,ok,,insufficient,,insufficient,,insufficient,거래대금 4위 | 영업이익 성장 +389% | OBV 매집 | 10거래일 중 3회 등장
2026-07-08,058730,다스코,91.3,5,1,5200.0,0.38,ok,,insufficient,,insufficient,,insufficient,거래대금 30위 | 영업이익 성장 +217% | PEG 0.01 (저평가) | 60일 신고가 돌파 | 거래량 3.0배 폭증 | 정배열 · MACD 강세 · OBV 매집 | 10거래일 중 5회 등장
2026-07-08,010950,S-Oil,72.9,3,2,131600.0,6.69,ok,,insufficient,,insufficient,,insufficient,거래대금 49위 | 영업이익 성장 +1394% | PEG 0.00 (저평가) | 60일 고가 근접 | MACD 강세 · OBV 매집 | 10거래일 중 3회 등장
2026-07-08,010960,삼호개발,69.4,3,3,4460.0,-16.7,ok,,insufficient,,insufficient,,insufficient,영업이익 성장 +1108% | PEG 0.00 (저평가) | 60일 신고가 돌파 | 거래량 2.2배 | MACD 강세 · OBV 매집
2026-07-08,263800,데이타솔루션,65.9,3,4,5940.0,-0.17,ok,,insufficient,,insufficient,,insufficient,영업이익 성장 +1100% | PEG 0.00 (저평가) | 60일 신고가 돌파 | 거래량 5.6배 폭증 | MACD 강세 · OBV 매집
2026-07-08,352820,하이브,63.5,2,5,230000.0,-9.57,ok,,insufficient,,insufficient,,insufficient,거래대금 57위 | 영업이익 성장 +435% | PEG 0.02 (저평가) | MACD 강세 · OBV 매집 | 10거래일 중 5회 등장
2026-07-08,005930,삼성전자,61.2,2,6,277500.0,0.72,ok,,insufficient,,insufficient,,insufficient,거래대금 2위 | 영업이익 성장 +758% | PEG 0.01 (저평가) | 10거래일 중 3회 등장
2026-07-08,005935,삼성전자우,61.2,2,7,186900.0,2.73,ok,,insufficient,,insufficient,,insufficient,거래대금 5위 | 영업이익 성장 +758% | PEG 0.01 (저평가) | 10거래일 중 3회 등장
2026-07-08,042660,한화오션,61.2,2,8,82000.0,0.0,ok,,insufficient,,insufficient,,insufficient,거래대금 13위 | 영업이익 성장 +391% | PEG 0.37 (저평가) | OBV 매집 | 10거래일 중 3회 등장
2026-07-09,058730,다스코,76.0,3,1,4960.0,-8.97,ok,,insufficient,,insufficient,,insufficient,거래대금 32위 | 영업이익 성장 +217% | PEG 0.01 (저평가) | 거래량 2.6배 | 정배열 · MACD 강세 · OBV 매집 | 10거래일 중 5회 등장
2026-07-09,002990,금호건설,70.2,3,2,17310.0,-37.03,ok,,insufficient,,insufficient,,insufficient,거래대금 7위 | 영업이익 성장 +126% | 60일 신고가 돌파 | 거래량 2.6배 | MACD 강세 · OBV 매집 | 10거래일 중 6회 등장
2026-07-09,010950,S-Oil,68.2,3,3,133500.0,8.54,ok,,insufficient,,insufficient,,insufficient,거래대금 92위 | 영업이익 성장 +1412% | PEG 0.00 (저평가) | 60일 고가 근접 | MACD 강세 · OBV 매집 | 10거래일 중 4회 등장
2026-07-09,263800,데이타솔루션,65.6,3,4,7720.0,-29.92,ok,,insufficient,,insufficient,,insufficient,영업이익 성장 +1100% | PEG 0.00 (저평가) | 60일 신고가 돌파 | 거래량 14.6배 폭증 | MACD 강세 · OBV 매집 | 과열 페널티 -5 (RSI 고점)
2026-07-09,352820,하이브,63.5,2,5,216000.0,-3.47,ok,,insufficient,,insufficient,,insufficient,거래대금 77위 | 영업이익 성장 +438% | PEG 0.02 (저평가) | MACD 강세 · OBV 매집 | 10거래일 중 5회 등장
2026-07-09,042660,한화오션,62.4,2,6,78600.0,10.31,ok,,insufficient,,insufficient,,insufficient,거래대금 11위 | 영업이익 성장 +391% | PEG 0.35 (저평가) | 10거래일 중 3회 등장
2026-07-09,005930,삼성전자,61.2,2,7,278000.0,-8.27,ok,,insufficient,,insufficient,,insufficient,거래대금 2위 | 영업이익 성장 +779% | PEG 0.01 (저평가) | 10거래일 중 4회 등장
2026-07-09,005935,삼성전자우,61.2,2,8,185600.0,-7.33,ok,,insufficient,,insufficient,,insufficient,거래대금 5위 | 영업이익 성장 +779% | PEG 0.01 (저평가) | 10거래일 중 3회 등장
2026-07-10,010170,대한광통신,73.3,3,1,12600.0,,insufficient,,insufficient,,insufficient,,insufficient,거래대금 9위 | 영업이익 성장 +665% | 거래량 3.0배 폭증 | OBV 매집 | 10거래일 중 3회 등장
2026-07-10,353200,대덕전자,69.4,3,2,120900.0,,insufficient,,insufficient,,insufficient,,insufficient,거래대금 12위 | 영업이익 성장 +407% | PEG 0.03 (저평가) | 거래량 2.4배 | OBV 매집 | 10거래일 중 4회 등장
2026-07-10,005930,삼성전자,68.2,3,3,285000.0,,insufficient,,insufficient,,insufficient,,insufficient,거래대금 2위 | 영업이익 성장 +779% | PEG 0.01 (저평가) | OBV 매집 | 10거래일 중 5회 등장
2026-07-10,058730,다스코,67.8,3,4,5030.0,,insufficient,,insufficient,,insufficient,,insufficient,거래대금 83위 | 영업이익 성장 +217% | PEG 0.01 (저평가) | 정배열 · MACD 강세 · OBV 매집 | 10거래일 중 6회 등장
2026-07-10,000850,화천기공,67.1,3,5,42000.0,,insufficient,,insufficient,,insufficient,,insufficient,영업이익 성장 +700% | PEG 0.00 (저평가) | 60일 신고가 돌파 | 거래량 2.7배 | MACD 강세 · OBV 매집
2026-07-10,002990,금호건설,66.7,3,6,16820.0,,insufficient,,insufficient,,insufficient,,insufficient,거래대금 8위 | 영업이익 성장 +126% | 60일 고가 근접 | 거래량 2.1배 | MACD 강세 · OBV 매집 | 10거래일 중 6회 등장
2026-07-10,263800,데이타솔루션,64.7,2,7,7300.0,,insufficient,,insufficient,,insufficient,,insufficient,거래대금 31위 | 영업이익 성장 +1100% | PEG 0.00 (저평가) | 거래량 14.6배 폭증 | MACD 강세
2026-07-10,402340,SK스퀘어,64.0,2,8,1409000.0,,insufficient,,insufficient,,insufficient,,insufficient,거래대금 4위 | 영업이익 성장 +389% | OBV 매집 | 10거래일 중 5회 등장
2026-07-10,010950,S-Oil,63.5,2,9,132100.0,,insufficient,,insufficient,,insufficient,,insufficient,영업이익 성장 +1412% | PEG 0.00 (저평가) | 60일 고가 근접 | MACD 강세 · OBV 매집 | 10거래일 중 4회 등장
2026-07-10,005935,삼성전자우,61.2,2,10,194300.0,,insufficient,,insufficient,,insufficient,,insufficient,거래대금 5위 | 영업이익 성장 +779% | PEG 0.01 (저평가) | 10거래일 중 4회 등장
2026-07-10,240810,원익IPS,60.0,2,11,125000.0,,insufficient,,insufficient,,insufficient,,insufficient,거래대금 10위 | 영업이익 성장 +596% | 10거래일 중 5회 등장
2026-07-10,089970,브이엠,60.0,2,12,103400.0,,insufficient,,insufficient,,insufficient,,insufficient,거래대금 36위 | 영업이익 성장 +387% | OBV 매집 | 10거래일 중 5회 등장
2026-07-13,010950,S-Oil,80.0,4,1,139500.0,,insufficient,,insufficient,,insufficient,,insufficient,거래대금 44위 | 영업이익 성장 +1412% | PEG 0.00 (저평가) | 60일 신고가 돌파 | MACD 강세 · OBV 매집 | 10거래일 중 5회 등장
2026-07-13,096770,SK이노베이션,72.9,3,2,110200.0,,insufficient,,insufficient,,insufficient,,insufficient,거래대금 23위 | 영업이익 성장 +1036% | PEG 0.00 (저평가) | 거래량 3.2배 폭증 | MACD 강세 · OBV 매집
2026-07-13,010955,S-Oil우,63.5,2,3,67500.0,,insufficient,,insufficient,,insufficient,,insufficient,영업이익 성장 +1412% | PEG 0.00 (저평가) | 60일 신고가 돌파 | 정배열 · MACD 강세 · OBV 매집
2026-07-13,058730,다스코,63.1,2,4,4765.0,,insufficient,,insufficient,,insufficient,,insufficient,영업이익 성장 +217% | PEG 0.01 (저평가) | 정배열 · MACD 강세 · OBV 매집 | 10거래일 중 5회 등장
