date,code,name,score,rank,penalty,avail_max,ind_ma_up,ind_macd_bull,ind_obv_up,rsi,거래대금_earned,거래대금_max,거래대금_avail,실적_earned,실적_max,실적_avail,밸류_earned,밸류_max,밸류_avail,수급_earned,수급_max,수급_avail,신고가_earned,신고가_max,신고가_avail,거래량증가_earned,거래량증가_max,거래량증가_avail,차트_earned,차트_max,차트_avail,누적등장_earned,누적등장_max,누적등장_avail,ret_5d,ret_10d
2026-06-24,011930,신성이엔지,35.3,99,0.0,85,0,0,0,26.6,0,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,-0.38,-4.93
2026-06-24,099320,쎄트렉아이,35.3,100,0.0,85,0,0,0,28.2,0,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,-10.06,-4.65
2026-06-24,124500,아이티센글로벌,35.3,101,0.0,85,0,0,0,23.2,0,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,-13.31,-14.31
2026-06-24,077360,덕산하이메탈,35.3,102,0.0,85,0,0,0,38.5,0,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,-10.34,-17.76
2026-06-24,092870,엑시콘,35.3,103,0.0,85,0,0,0,33.3,0,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,-9.95,-12.82
2026-06-24,005070,코스모신소재,35.3,104,0.0,85,0,0,0,36.0,0,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,-1.92,1.15
2026-06-24,187870,디바이스,35.3,105,0.0,85,0,0,0,32.3,0,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,-4.51,-5.74
2026-06-24,456040,OCI,35.3,106,0.0,85,0,0,0,33.9,0,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,1.31,-2.61
2026-06-24,073490,LIG아큐버,35.3,107,0.0,85,0,0,0,27.4,0,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,-10.5,-9.43
2026-06-24,425420,티에프이,35.3,108,0.0,85,0,0,0,35.4,0,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,-10.6,-7.95
2026-06-24,080580,오킨스전자,35.3,109,0.0,85,0,0,0,35.0,0,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,-5.36,-3.73
2026-06-24,089890,코세스,35.3,110,0.0,85,0,0,0,33.7,0,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,8.42,14.43
2026-06-24,111710,남화산업,35.0,111,5.0,75,0,1,1,82.8,0,15,1,4.0,20,1,0,10,0,0,15,0,10,10,1,10,10,1,6.0,10,1,0,10,1,11.62,-5.97
2026-06-24,095340,ISC,34.9,112,0.0,85,0,1,1,44.3,8,15,1,7.7,20,1,8,10,1,0,15,0,0,10,1,0,10,1,6.0,10,1,0,10,1,-19.11,-20.63
2026-06-24,108490,로보티즈,34.9,113,0.0,75,0,0,1,39.8,8,15,1,15.2,20,1,0,10,0,0,15,0,0,10,1,0,10,1,3.0,10,1,0,10,1,-11.15,-14.68
2026-06-24,120110,코오롱인더,34.9,114,0.0,85,0,1,1,41.2,4,15,1,9.7,20,1,10,10,1,0,15,0,0,10,1,0,10,1,6.0,10,1,0,10,1,-9.06,-15.56
2026-06-24,000270,기아,34.8,115,0.0,85,0,0,1,35.7,12,15,1,4.6,20,1,10,10,1,0,15,0,0,10,1,0,10,1,3.0,10,1,0,10,1,4.54,6.19
2026-06-24,228340,동양파일,34.7,116,0.0,75,0,1,1,73.0,0,15,1,0.0,20,1,0,10,0,0,15,0,10,10,1,10,10,1,6.0,10,1,0,10,1,81.33,65.77
2026-06-24,064350,현대로템,34.6,117,0.0,85,0,1,1,45.2,8,15,1,10.4,20,1,5,10,1,0,15,0,0,10,1,0,10,1,6.0,10,1,0,10,1,0.97,-8.49
2026-06-24,074600,원익QnC,34.5,118,0.0,85,1,0,1,45.7,4,15,1,8.3,20,1,10,10,1,0,15,0,0,10,1,0,10,1,7.0,10,1,0,10,1,-6.76,-8.38
2026-06-24,403870,HPSP,34.4,119,0.0,85,0,0,1,45.8,12,15,1,6.2,20,1,8,10,1,0,15,0,0,10,1,0,10,1,3.0,10,1,0,10,1,-13.64,-12.25
2026-06-24,086520,에코프로,34.4,120,0.0,85,0,0,0,38.1,8,15,1,13.2,20,1,8,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,-19.31,-20.33
2026-06-24,066570,LG전자,34.1,121,0.0,85,0,0,0,44.7,12,15,1,7.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,-5.97,-10.81
